"","full.name","hex.color"
"1","Euryarchaeota","#560b8e"
"2","Crenarchaeota","#790FC8"
"3","Halobacteria","#8A11E4"
"4","Thaumarchaeota","#680DAB"
"5","Altiarchaeota","#F6EEFC"
"6","Asgardaeota","#E5CCF7"
"7","Nanoarchaeaeota","#D3AAF1"
"8","Micrarchaeota","#C288EC"
"9","Diapherotrites","#B977E9"
"10","Hadesarchaeaeota","#DECBFF"
"11","Hydrothermarchaeota","#BAA2E6"
"12","Archaea","#A200FF"
"13","Alphaproteobacteria","#4A4158"
"14","Betaproteobacteria","#6C627B"
"15","Deltaproteobacteria","#9086A0"
"16","Gammaproteobacteria","#B6ABC6"
"17","Epsilonbacteraeota","#DDD2EE"
"18","Proteobacteria","#9F95AF"
"19","Acidobacteria","#5200D1"
"20","Actinobacteria","#005CFF"
"21","Bacteroidetes","#0084FF"
"22","Chlamydiae","#00A1FF"
"23","Parachlamydiales","#00A1FF"
"24","Chloroflexi","#00B9E0"
"25","Anaerolineales","#00B9E0"
"26","Cyanobacteria","#CCD0FF"
"27","Cytophagia","#BBCCDD"
"28","Deinococcus-Thermus","#AABBDD"
"29","Desulfobacterota","#ADB1D8"
"30","Fibrobacteres","#99A2FF"
"31","Firmicutes","#7984F2"
"32","Clostridia","#7984F2"
"33","Fusobacteria","#3f457F"
"34","Myxococcota","#222299"
"35","Nitrospirae","#112288"
"36","Planctomycetes","#0015E5"
"37","Phycisphaerae","#0015E5"
"38","Brocadiae","#0015E5"
"39","Spirochaetes","#111188"
"40","Tenericutes","#000FA8"
"41","Thermoplasmata","#001166"
"42","Verrucomicrobia","#000002"
"43","Armatimonadetes","#79D9F2"
"44","Caldiserica","#00B6E5"
"45","Calditrichaeota","#227799"
"46","Elusimicrobia","#0085A8"
"47","FBP","#116688"
"48","Gemmatimonadetes","#005566"
"49","Ignavibacteria","#79F2E6"
"50","Kiritimatiellaeota","#00e5ce"
"51","Lentisphaerae","#0A8997"
"52","Synergistetes","#00665B"
"53","AABM512524","#DAF2DB"
"54","Acetothermia","#79f27e"
"55","Bipolaricaulis","#79f27e"
"56","Bipolaricaulota","#79f27e"
"57","Atribacteria","#88aa88"
"58","AncK6","#00e50b"
"59","BRC1","#229922"
"60","Calescamantes","#3F7f42"
"61","Calescibacterota","#3F7f42"
"62","CK-2C2-2","#71D32E"
"63","Dadabacteria","#00a808"
"64","Deferribacteres","#118822"
"65","Deferrisomatota","#118822"
"66","Desantisbacteria","#006604"
"67","Edwardsbacteria","#003302"
"68","Eisenbacteria","#b5f279"
"69","Entotheonellaeota","#c2d8ad"
"70","Eremiobacterota","#72e500"
"71","Eremiobacteria","#72e500"
"72","WPS-2","#72e500"
"73","Goldbacteria","#ffff99"
"74","FCPU426","#53a800"
"75","Firestonebacteria","#5f7f3f"
"76","GAL15","#448811"
"77","Hydrogenedentes","#336600"
"78","Kapabacteria","#193300"
"79","Kapabacteriales","#193300"
"80","Latescibacteria","#edf2da"
"81","LCP-89","#dcf279"
"82","Lindowbacteria","#0dddbb"
"83","Margulisbacteria","#ccddaa"
"84","MBNT15","#d0d8ad"
"85","Nitrospinae","#bce500"
"86","OLB16","#99aa88"
"87","Omnitrophica","#ccff66"
"88","Omnitrophicaeota","#ccff66"
"89","PAUC34f","#747f3f"
"90","Poribacteria","#556600"
"91","Rokubacteria","#f2f0Da"
"92","Schekmanbacteria","#f2eb79"
"93","TA06","#ddddaa"
"94","UBA10030","#e5d800"
"95","UBA10199","#6D7073"
"96","UBA3054","#fff770"
"97","UBA9089","#f2eb79"
"98","UBP1","#a89e00"
"99","WOR-1","#f2d479"
"100","WS1","#a87f00"
"101","WS2","#777755"
"102","WS4","#886611"
"103","Zixibacteria","#ffdc70"
"104","Berkelbacteria","#F28579"
"105","Dependentiae","#ff7f70"
"106","Gracilibacteria","#7f463f"
"107","Falkowbacteria","#ffd9b3"
"108","Kazanbacteria","#ff9933"
"109","Microgenomates","#992222"
"110","Pacebacteria","#882211"
"111","Paceibacteria","#a81100"
"112","Parcubacteria","#661100"
"113","Patescibacteria","#ffb366"
"114","Uhrbacteria","#e65c00"
"115","Ambiguous_taxa","#1f1f1f"
"116","Bacteria","#1f1f1f"
"117","Other","#1f1f1f"
"118","Unassigned","#1f1f1f"
