"","DeMMO1_DeltaG","DeMMO2_DeltaG","DeMMO3_DeltaG","DeMMO4_DeltaG","DeMMO5_DeltaG","DeMMO6_DeltaG","rxn.number","e.acceptor","e.donor","reactant.a","reactant.b","reactant.c","reactant.d","product.e","product.f","product.g","product.h","product.i","e.transfer","coeff.a","coeff.b","coeff.c","coeff.d","coeff.e","coeff.f","coeff.g","coeff.h","coeff.i","state.a","state.b","state.c","state.d","state.e","state.f","state.g","state.h","state.i"
"1",-157429.941681334,-170262.554969043,-158375.100811063,-160963.402486653,-153507.743767132,-146416.480321348,1,"pyrolusite","H2","pyrolusite","H2","H+","","Mn+2","H2O","","","",2,-1,-1,-2,NA,1,2,NA,NA,NA,"cr","gas","aq","","aq","liq","","",""
"2",-124465.263152284,-141457.979750595,-127798.807272406,-136470.33944281,-124621.488707215,-115540.223221437,2,"pyrolusite","HS-","pyrolusite","HS-","H+","","Mn+2","sulfur","H2O","","",2,-1,-1,-3,NA,1,1,2,NA,NA,"cr","aq","aq","","aq","cr","liq","",""
"3",-209631.820580616,-239338.953034834,-213810.90664018,-241836.136989812,-231189.716293774,-189543.503890444,3,"pyrolusite","NH4+","pyrolusite","NH4+","H+","","Mn+2","NO2-","H2O","","",6,-3,-1,-4,NA,3,1,4,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"4",-616692.422946557,-669238.035617437,-620171.388553154,-649144.916141169,-627259.190318757,-594812.332834485,4,"pyrolusite","CH4","pyrolusite","CH4","H+","","Mn+2","HCO3-","H2O","","",8,-4,-1,-7,NA,4,1,5,NA,NA,"cr","gas","aq","","aq","aq","liq","",""
"5",-96099.8053630298,-109584.451361245,-94923.972484382,-80312.0967561059,-85420.9207666972,-103354.861034533,5,"pyrolusite","Fe+2","pyrolusite","Fe+2","H2O","","Mn+2","ferrihydrite","H+","","",2,-1,-2,-2,NA,1,2,2,NA,NA,"cr","aq","liq","","aq","cr","aq","",""
"6",-471134.123402219,-517492.649254034,-468956.279039701,-499895.140111835,-490103.70443068,-445485.149314317,6,"pyrolusite","sulfur","pyrolusite","sulfur","H+","","Mn+2","SO4-2","H2O","","",6,-3,-1,-4,NA,3,1,2,NA,NA,"cr","cr","aq","","aq","aq","liq","",""
"7",-695311.664832294,-748502.380660349,-693329.338096895,-716791.198143439,-698835.157093807,-662109.690590491,7,"pyrolusite","acetate","pyrolusite","acetate","H+","","Mn+2","HCO3-","H2O","","",8,-4,-1,-7,NA,4,2,4,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"8",-17206.6684949568,-16151.9195102596,-19692.5708595233,-46100.4770492017,-27743.3238976467,10798.4725542148,8,"magnetite","H2","magnetite","H2","H+","","Fe+2","H2O","","","",2,-1,-1,-6,NA,3,4,NA,NA,NA,"cr","gas","aq","","aq","liq","","",""
"9",15758.0100340928,12652.6557081873,10883.7226791346,-21607.4140053585,1142.93116227014,41674.7296541253,9,"magnetite","HS-","magnetite","HS-","H+","","Fe+2","sulfur","H2O","","",2,-1,-1,-7,NA,3,1,4,NA,NA,"cr","aq","aq","","aq","cr","liq","",""
"10",211037.998978514,222992.953341515,202236.683214441,102752.63932254,146103.543314681,282101.354736244,10,"magnetite","NH4+","magnetite","NH4+","H+","","Fe+2","NO2-","H2O","","",6,-3,-1,-16,NA,9,1,10,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"11",-55799.3302010481,-52795.4937823084,-65441.2687469913,-189693.214391366,-124201.510840813,34047.4786677634,11,"magnetite","CH4","magnetite","CH4","H+","","Fe+2","HCO3-","H2O","","",8,-4,-1,-23,NA,12,1,13,NA,NA,"cr","gas","aq","","aq","aq","liq","",""
"12",-50464.3038430885,-55160.7428776849,-52908.6891850799,-155306.363799482,-112810.444822224,26159.7093123706,12,"magnetite","sulfur","magnetite","sulfur","H+","","Fe+2","SO4-2","H2O","","",6,-3,-1,-16,NA,9,1,8,NA,NA,"cr","cr","aq","","aq","aq","liq","",""
"13",-134418.572086785,-132059.838825215,-138599.218290738,-257339.496393636,-195777.477615863,-33249.8790882422,13,"magnetite","acetate","magnetite","acetate","H+","","Fe+2","HCO3-","H2O","","",8,-4,-1,-23,NA,12,2,12,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"14",NA,NA,NA,NA,NA,NA,14,"magnetite","Mn+2","magnetite","Mn+2","H+","","Fe+2","manganite","","","",2,-1,-2,-2,NA,3,2,NA,NA,NA,"cr","aq","aq","","aq","cr","","",""
"15",-40249.4206542355,-33037.1744033365,-39024.9610034485,-21533.021482356,-16546.3262729346,-26319.522527516,15,"gypsum","H2","gypsum","H2","H+","","HS-","Ca+2","H2O","","",8,-1,-4,-1,NA,1,1,6,NA,NA,"cr","gas","aq","","aq","aq","liq","",""
"16",90231.8307104301,80997.3504730989,82449.556921562,76201.4296464288,99643.0391940397,96852.9870626897,16,"gypsum","HS-","gypsum","HS-","H+","","sulfur","Ca+2","H2O","","",8,-1,-3,-5,NA,1,1,6,NA,NA,"cr","aq","aq","","cr","aq","liq","",""
"17",929883.755890832,986683.32427917,928182.700161697,899617.217433512,867695.081211686,919865.180711849,17,"gypsum","NH4+","gypsum","NH4+","","","HS-","NO2-","Ca+2","H2O","H+",24,-3,-4,NA,NA,3,4,3,10,5,"cr","aq","","","aq","aq","aq","liq","aq"
"18",-27222.0768754576,-21224.9901446038,-25695.9463123482,-26824.3276769148,-29774.5415231626,-35465.9340766099,18,"gypsum","CH4","gypsum","CH4","","","HCO3-","HS-","Ca+2","H2O","",8,-1,-1,NA,NA,1,1,1,3,NA,"cr","gas","","","aq","aq","aq","liq",""
"19",205071.124618977,209675.240027855,214779.552303277,301072.201439828,255800.965728808,145926.954619743,19,"gypsum","Fe+2","gypsum","Fe+2","H2O","","HS-","ferrihydrite","Ca+2","H+","",8,-1,-8,-10,NA,1,8,1,15,NA,"cr","aq","liq","","aq","cr","aq","aq",""
"20",-121552.712795478,-131398.926995733,-97939.0149740869,-138279.647586877,-173797.877574638,-109543.106373941,20,"gypsum","sulfur","gypsum","sulfur","","","SO4-2","HS-","H+","Ca+2","H2O",24,-3,-4,NA,NA,4,3,5,3,2,"cr","cr","","","aq","aq","aq","aq","liq"
"21",-111268.576161094,-105956.801585614,-104394.121393791,-100131.462211485,-107187.514536911,-108404.997222914,21,"gypsum","acetate","gypsum","acetate","","","HS-","HCO3-","Ca+2","H2O","",8,-1,-1,NA,NA,1,2,1,2,NA,"cr","aq","","","aq","aq","aq","liq",""
"22",NA,NA,NA,NA,NA,NA,22,"gypsum","Mn+2","gypsum","Mn+2","H2O","","HS-","manganite","Ca+2","H+","",8,-1,-8,-10,NA,1,8,1,15,NA,"cr","aq","liq","","aq","cr","aq","aq",""
"23",-134833.404424181,-140165.39816898,-133272.928850944,-143329.115446069,-151135.626295567,-151167.000942905,23,"NO3-","siderite","siderite","NO3-","H2O","","ferrihydrite","NO2-","HCO3-","H+","",2,-2,-1,-3,NA,2,1,2,2,NA,"cr","aq","liq","","cr","aq","aq","aq",""
"24",208536.901901197,204896.923421782,221211.727804492,192905.906932347,168808.954843099,152788.60852218,24,"SO4-2","siderite","siderite","SO4-2","H2O","","ferrihydrite","HS-","HCO3-","H+","",8,-8,-1,-12,NA,8,1,8,7,NA,"cr","aq","liq","","cr","aq","aq","aq",""
"25",-9515.15393536769,-8828.36666941491,-11537.4254880332,-28628.622612036,-15898.84421225,8943.52868114254,25,"hematite","H2","hematite","H2","H+","","Fe+2","H2O","","","",2,-1,-1,-4,NA,2,3,NA,NA,NA,"cr","gas","aq","","aq","liq","","",""
"26",23449.5245936818,19976.2085490326,19038.8680506247,-4135.55956819276,12987.4108476675,39819.7857810531,26,"hematite","HS-","hematite","HS-","H+","","Fe+2","sulfur","H2O","","",2,-1,-1,-5,NA,2,1,3,NA,NA,"cr","aq","aq","","aq","cr","liq","",""
"27",234112.542657282,244963.611864051,226702.119328912,155168.202634038,181636.982370873,276536.523117027,27,"hematite","NH4+","hematite","NH4+","H+","","Fe+2","NO2-","H2O","","",6,-3,-1,-10,NA,6,1,7,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"28",-25033.2719626925,-23501.2824189257,-32820.6872610315,-119805.796642702,-76823.5920992271,26627.7031754755,28,"hematite","CH4","hematite","CH4","H+","","Fe+2","HCO3-","H2O","","",8,-4,-1,-15,NA,8,1,9,NA,NA,"cr","gas","aq","","aq","aq","liq","",""
"29",-27389.7601643207,-33190.0843551501,-28443.2530706091,-102890.800487985,-77277.0057660328,20594.8776931539,29,"hematite","sulfur","hematite","sulfur","H+","","Fe+2","SO4-2","H2O","","",6,-3,-1,-10,NA,6,1,5,NA,NA,"cr","cr","aq","","aq","aq","liq","",""
"30",-103652.51384843,-102765.627461836,-105978.636804775,-187452.078644972,-148399.558874276,-40669.6545805291,30,"hematite","acetate","hematite","acetate","H+","","Fe+2","HCO3-","H2O","","",8,-4,-1,-15,NA,8,2,8,NA,NA,"cr","aq","aq","","aq","aq","liq","",""
"31",NA,NA,NA,NA,NA,NA,31,"hematite","Mn+2","hematite","Mn+2","H2O","","Fe+2","manganite","","","",2,-1,-2,-1,NA,2,2,NA,NA,NA,"cr","aq","liq","","aq","cr","","",""
"32",-1433895.49964388,-1455935.08654235,-1440875.26211302,-1450873.22141367,-1466622.36396442,-1426997.81398484,32,"NO3-","pyrite","pyrite","NO3-","","","Fe+2","SO4-2","NO2-","","",16,-1,-8,NA,NA,1,2,8,NA,NA,"cr","aq","","","aq","aq","aq","",""
"33",104031.612336069,95756.7588786717,114564.22878561,107130.389192621,105148.550448032,155489.33120023,33,"HCO3-","pyrite","pyrite","HCO3-","H2O","H+","Fe+2","SO4-2","CH4","","",16,-1,-2,-2,-2,1,2,2,NA,NA,"cr","aq","liq","aq","aq","aq","gas","",""
